address	currency	sources
0x0330070FD38Ec3bB94F58FA55D40368271E9e54A	ETH	ofac_0xB10C
0x04DBA1194ee10112fE6C3207C0687DEf0e78baCf	ETH	ofac_0xB10C
0x08723392Ed15743cc38513C4925f5e6be5c17243	ETH	ofac_0xB10C
0x08b2eFdcdB8822EfE5ad0Eae55517cf5DC544251	ETH	ofac_0xB10C
0x0931cA4D13BB4ba75D9B7132AB690265D749a5E7	ETH	ofac_0xB10C
0x098B716B8Aaf21512996dC57EB0615e2383E2f96	ETH	ofac_0xB10C
0x0Ee5067b06776A89CcC7dC8Ee369984AD7Db5e06	ETH	ofac_0xB10C
0x11069987e8507d0669c870b578cc9f9b4017d127	ETH	il_mod_crypto
0x12de548F79a50D2bd05481C8515C1eF5183666a9	ETH	ofac_0xB10C
0x175d44451403Edf28469dF03A9280c1197ADb92c	USDT	ofac_0xB10C
0x175d44451403edf28469df03a9280c1197adb92c	ETH	il_mod_crypto
0x1967d8af5bd86a497fb3dd7899a020e47560daaf	ETH	ofac_0xB10C
0x1999ef52700c34de7ec2b68a28aafb37db0c5ade	ETH	ofac_0xB10C
0x19F8f2B0915Daa12a3f5C9CF01dF9E24D53794F7	ETH	ofac_0xB10C
0x19aa5fe80d33a56d56c78e82ea5e50e5d80b4dff	ETH	ofac_0xB10C
0x1da5821544e25c636c1417ba96ade4cf6d2f9b5a	ETH	ofac_0xB10C
0x21B8d56BDA776bbE68655A16895afd96F5534feD	ETH	il_mod_crypto,ofac_0xB10C
0x2f389ce8bd8ff92de3402ffce4691d17fc4f6535	ETH	ofac_0xB10C
0x308ed4b7b49797e1a98d3818bff6fe5385410370	ETH	ofac_0xB10C
0x35fB6f6DB4fb05e6A4cE86f2C93691425626d4b1	ETH	ofac_0xB10C
0x38735f03b30FbC022DdD06ABED01F0Ca823C6a94	USDT	ofac_0xB10C
0x39D908dac893CBCB53Cc86e0ECc369aA4DeF1A29	ETH	ofac_0xB10C
0x3AD9dB589d201A710Ed237c829c7860Ba86510Fc	ETH	ofac_0xB10C
0x3Cffd56B47B7b41c56258D9C7731ABaDc360E073	ETH	ofac_0xB10C
0x3cbded43efdaf0fc77b9c55f6fc9988fcc9b757d	ETH	ofac_0xB10C
0x3e37627dEAA754090fBFbb8bd226c1CE66D255e9	ETH	ofac_0xB10C
0x43fa21d92141BA9db43052492E0DeEE5aa5f0A93	ETH	ofac_0xB10C
0x48549a34ae37b12f6a30566245176994e17c6b4a	ETH	ofac_0xB10C
0x4f47bc496083c727c5fbe3ce9cdf2b0f6496270c	ARB	ofac_0xB10C
0x502371699497d08D5339c870851898D6D72521Dd	ETH	ofac_0xB10C
0x530a64c0ce595026a4a556b703644228179e2d57	ETH	ofac_0xB10C
0x532b77b33a040587e9fd1800088225f99b8b0e8a	ETH	ofac_0xB10C
0x53b6936513e738f44FB50d2b9476730C0Ab3Bfc1	ETH	ofac_0xB10C
0x53b9B72DC6f96Eb4B54143B211B22e2548e4cf5c	ETH	il_mod_crypto
0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0	ETH	ofac_0xB10C
0x57EC89A0C056163A0314e413320f9B3ABe761259	ETH	ofac_0xB10C
0x5A14E72060c11313E38738009254a90968F58f51	ETH	ofac_0xB10C
0x5a7a51bfb49f190e5a6060a5bc6052ac14a3b59f	ETH	ofac_0xB10C
0x5d5b5dafecbf31bdb08bfd3edad4f2694372d0ef	ETH	ofac_0xB10C
0x5f48c2a71b2cc96e3f0ccae4e39318ff0dc375b2	ETH	ofac_0xB10C
0x67d40EE1A85bf4a4Bb7Ffae16De985e8427B6b45	ETH	ofac_0xB10C
0x6be0ae71e6c41f2f9d0d1a3b8d0f75e6f6a0b46e	ETH	ofac_0xB10C
0x6f1ca141a28907f78ebaa64fb83a9088b02a8352	ETH	ofac_0xB10C
0x72a5843cc08275C8171E582972Aa4fDa8C397B2A	ETH	ofac_0xB10C
0x747AFB5c7A7fc34B547cD0FDEbf9b91759C5a52b	ETH	ofac_0xB10C
0x76EA76CA4Eb727f18956aB93445a94c5280412B9	ETH	ofac_0xB10C
0x797d7ae72ebddcdea2a346c1834e04d1f8df102b	ETH	ofac_0xB10C
0x7CEd75026204aC29C34bEA98905D4C949F27361e	ETH	ofac_0xB10C
0x7Db418b5D567A4e0E8c59Ad71BE1FcE48f3E6107	ETH	ofac_0xB10C
0x7F19720A857F834887FC9A7bC0a0fBe7Fc7f8102	ETH	ofac_0xB10C
0x7F367cC41522cE07553e823bf3be79A889DEbe1B	ETH	ofac_0xB10C
0x7FF9cFad3877F21d41Da833E2F775dB0569eE3D9	ETH	ofac_0xB10C
0x7eab248c014d1043e54e96ac4f31ec7d9a97ffd3	ETH	il_mod_crypto
0x83E5bC4Ffa856BB84Bb88581f5Dd62A433A25e0D	ETH	ofac_0xB10C
0x8576acc5c05d6ce88f4e49bf65bdf0c62f91353c	ETH	ofac_0xB10C
0x8Dce2aAC0dE82bdCAf6b4373B79f94331b8e4995	ETH	ofac_0xB10C
0x901bb9583b24d97e995513c6778dc6888ab6870e	ETH	ofac_0xB10C
0x931546D9e66836AbF687d2bc64B30407bAc8C568	ETH	ofac_0xB10C
0x95584C303FCd48AF5c6B9873015f2AD0ca84EaE3	ETH	ofac_0xB10C
0x961c5be54a2ffc17cf4cb021d863c42dacd47fc1	ETH	ofac_0xB10C
0x97b1043abd9e6fc31681635166d430a458d14f9c	ETH	ofac_0xB10C
0x983a81ca6FB1e441266D2FbcB7D8E530AC2E05A2	ETH	ofac_0xB10C
0x99d29380a2e37c04e4fe75111b7d410674a6cab3	ETH	il_mod_crypto
0x9Be599d7867f5E1a2D7Ec6dB9710dF2b98A15573	ETH	ofac_0xB10C
0x9c2bc757b66f24d60f016b6237f8cdd414a879fa	ETH	ofac_0xB10C
0x9f4cda013e354b8fc285bf4b9a60460cee7f7ea9	ETH	ofac_0xB10C
0xC3b194e0a4Bfff0e986594d7768F58746E52Eb53	ETH	il_mod_crypto
0xD8500C631dC32FA18645B7436344a99E4825e10e	ETH	ofac_0xB10C
0xE3740C1B2FcDA407027E2c80906306604E5260e7	ETH	il_mod_crypto
0xE950DC316b836e4EeFb8308bf32Bf7C72a1358FF	ETH	ofac_0xB10C
0xEFE301d259F525cA1ba74A7977b80D5b060B3ccA	ETH	ofac_0xB10C
0xF7B31119c2682c88d88D455dBb9d5932c65Cf1bE	ETH	ofac_0xB10C
0xFb3eFf152ea55D1BfA04Dbdd509A80fD7b72cdEB	ETH	ofac_0xB10C
0xFda1Ec4A6178d4916b001a065422D31EBE5F62FF	ETH	ofac_0xB10C
0xa0e1c89Ef1a489c9C7dE96311eD5Ce5D32c20E4B	ETH	ofac_0xB10C
0xa7e5d5a720f06526557c513402f2e6b5fa20b008	ETH	ofac_0xB10C
0xad92a818e26fc3dbce7a1972308a4a86f54dd683	USDT	il_mod_crypto
0xb338962B92CD818D6aef0A32a9ECD01212a71f33	ETH	ofac_0xB10C
0xb637f84b66876ebf609c2a4208905f9ddac9d075	ETH	ofac_0xB10C
0xb6f5ec1a0a9cd1526536d3f0426c429529471f40	ETH	ofac_0xB10C
0xc077bbfcf9b5b9eec0dd105e15b65ebc2a030600	USDT	il_mod_crypto
0xc0d227bd0580bad9435ca0b884ebee7ff8da71c9	USDT	il_mod_crypto
0xc103b7dc095c904b92081eef0c1640081ec01c10	ETH	ofac_0xB10C
0xc2a3829F459B3Edd87791c74cD45402BA0a20Be3	ETH	ofac_0xB10C
0xc455f7fd3e0e12afd51fba5c106909934d8a0e4a	ETH	ofac_0xB10C
0xc8fe1c81e927540fcc99ebb3c880a840082293da	ETH	il_mod_crypto
0xcB74874f1e06Fcf80A306e06e5379A44B488bA2D	ETH	ofac_0xB10C
0xd04E33461FEA8302c5E1e13895b60cEe8AEfda7F	ETH	ofac_0xB10C
0xd0975b32cea532eadddfc9c60481976e39db3472	ETH	ofac_0xB10C
0xd5ED34b52AC4ab84d8FA8A231a3218bbF01Ed510	ETH	ofac_0xB10C
0xd882cfc20f52f2599d84b8e8d58c7fb62cfe344b	ETC	ofac_0xB10C
0xdb2720ebad55399117ddb4c4a4afd9a4ccada8fe	ETH	ofac_0xB10C
0xdcbEfFBECcE100cCE9E4b153C4e15cB885643193	ETH	ofac_0xB10C
0xddd42d46a17b9a5b0c53c5ef2b79a6acb1b50333	ETH	il_mod_crypto
0xe090669ee62e02f4437b89058a073dc7874aed8f	ETH	il_mod_crypto
0xe1d865c3d669dcc8c57c8d023140cb204e672ee4	ETH	ofac_0xB10C
0xe1e4c5e5ed8f03ae61b581e2def126025f2b9401	ETH	ofac_0xB10C
0xe3d35f68383732649669aa990832e017340dbca5	ETH	ofac_0xB10C
0xe7aa314c77f4233c18c6cc84384a9247c0cf367b	ETH	ofac_0xB10C
0xebfe7a29ea17acb5f6f437e659bd2d472deedc54	ETH	il_mod_crypto
0xed6e0a7e4ac94d976eebfb82ccf777a3c6bad921	ETH	ofac_0xB10C
0xf3701f445b6bdafedbca97d1e477357839e4120d	ETH	ofac_0xB10C
0xf4377edA661e04B6DDA78969796Ed31658D602D4	ETH	ofac_0xB10C
0xfac583c0cf07ea434052c49115a4682172ab6b4f	USDT	ofac_0xB10C
0xfec8a60023265364d066a1212fde3930f6ae8da7	USDT	ofac_0xB10C
12154055877559948854L	LSK	il_mod_crypto
121Yb34i3Moxbniuz9c9ExJWmmYMuepjRr	XBT	il_mod_crypto
123WBUDmSJv4GctdVEz6Qq6z8nXSKrJ4KX	XBT	ofac_0xB10C
125W5ek3DT6Zqy5S2iPt4FHQdNMCbZA3FU	XBT	ofac_0xB10C
1295rkVyNfFpqZpXvKGhDqwhP1jZcNNDMV	XBT	ofac_0xB10C
129zKFLoVad9JtxSmDKeJoLCsjhGR7b3vr	XBT	ofac_0xB10C
12HQDsicffSBaYdJ6BhnE22sfjTESmmzKx	XBT	ofac_0xB10C
12NpCkhddSNiDkD9rRYUCHsTT9ReMNiJjG	XBT	ofac_0xB10C
12QtD5BFwRsdNsAZY76UVE1xyCGNTojH9h	XBT	ofac_0xB10C
12VrYZgS1nmf9KHHped24xBb1aLLRpV2cT	XBT	ofac_0xB10C
